int_no,true_counts,pred_counts,true_rate,pred_rate,pi
4479,0,0.09105171727019701,0.0,0.006030414973568968,15.0987482070923
1221,0,0.09379654058738135,0.0,0.0023646017667953573,39.6669502258301
1648,0,1.0800859896695134,0.0,0.0009630515917144505,1121.52453613281
814,0,0.21358841647841253,0.0,0.007230689263477122,29.5391502380371
1497,0,0.15363830836093245,0.0,0.0017063167218713934,90.0409088134766
3757,0,0.10800403968816943,0.0,0.0022945637776833135,47.0695304870605
1418,0,0.19719355180300877,0.0,0.0023821646563422652,82.7791442871094
1551,0,0.225403334792926,0.0,8.67699915041088e-05,2597.71069335938
8458,0,0.17940395766907036,0.0,0.0013730877095674348,130.657318115234
1666,0,0.18286378016247226,0.0,0.0034674098361053896,52.7378616333008
1550,0,0.2709981563067987,0.0,0.0004990933535693826,542.980895996094
1716,0,0.3052365104061874,0.0,0.0023024409473465057,132.570831298828
491,0,0.19226328390136715,0.0,9.588937262817715e-05,2005.05310058594
1576,1,0.17353511652903691,0.0037200879070577483,0.0006455658884495273,268.810852050781
1670,0,0.10162781003478825,0.0,0.003016630700417635,33.6891784667969
2021,0,0.15915909257323874,0.0,0.0015036585842315,105.84789276123
568,0,0.2181790372391604,0.0,0.0010798279221291018,202.049819946289
1252,0,0.5001933149829672,0.0,0.0006067143415222625,824.4296875
10450,0,0.29180420010047664,0.0,0.005372838212685199,54.3109970092773
408,0,0.22659029815249832,0.0,0.0010015832475888272,226.232116699219
15384,0,0.5498740563375223,0.0,0.003497717496925449,157.209396362305
1275,0,0.4605754705294807,0.0,0.001026598329317539,448.642333984375
1587,0,0.2180967545142982,0.0,0.001798075268935512,121.294563293457
752,0,0.37418832134821006,0.0,0.0008028422677252585,466.079498291016
995,0,0.32335588758830497,0.0,0.0008463033632398811,382.080352783203
8797,0,0.4376012581725254,0.0,0.0007566629360001204,578.330505371094
1555,0,0.5698123517533101,0.0,0.0028330416036169525,201.130950927734
652,0,0.44740752712922693,0.0,0.0007259813981192921,616.279602050781
947,0,0.3745142688996064,0.0,0.00041310732838060007,906.57861328125
1329,0,0.4946813523833654,0.0,0.0018975477959615032,260.695068359375
78,0,0.4810435385651167,0.0,0.0005843706396662981,823.182250976562
968,0,0.368958492209338,0.0,0.0013662206146344297,270.057769775391
1367,0,0.48825604955161184,0.0,0.0004040761219628109,1208.32690429688
13258,0,0.4147293007454079,0.0,0.002074461430019703,199.921432495117
822,0,0.5532428630487607,0.0,0.0003703673419600036,1493.76794433594
239,0,0.38499064679447037,0.0,0.00027295952222444037,1410.43127441406
7198,0,0.5271541747494243,0.0,0.002616848673223578,201.446182250977
826,0,0.5046038014254774,0.0,0.0008508489505527739,593.059204101562
8553,1,0.08182778364214956,0.015338488369221859,0.0012551145076743137,65.1954727172852
640,0,0.49298236798971795,0.0,0.00041407894726245344,1190.55163574219
9841,0,0.4844956037457917,0.0,0.0008868785124451686,546.293090820312
241,0,0.46301689134232515,0.0,0.0006047297109681764,765.659240722656
8892,1,0.1316581390134582,0.08699449058233598,0.01145353273449417,11.4949808120728
1687,0,0.4564046771338207,0.0,0.0007707082357668243,592.188659667969
1683,0,0.6667319259831599,0.0,0.0012972635171569252,513.952575683594
1708,1,0.230261616544173,0.006521181251643706,0.0015015777367810331,153.346450805664
8206,0,0.37327610178197734,0.0,0.0008006133461131012,466.237670898438
1553,0,0.41913759062073397,0.0,0.0007279052966570618,575.813354492188
